timestamp_utc,sensor_sn,measurement_type,data_type,units,value
2026-06-07T00:00:00+00:00,22411189-1,Temperature,CURRENT,°C,23.099086914062504
2026-06-07T00:00:00+00:00,22411189-2,RH,CURRENT,%,60.11596856641489
2026-06-07T00:00:00+00:00,22411189-3,Dew Point,CURRENT,°C,14.961385957137214
2026-06-07T00:00:00+00:00,22411190-1,Temperature,CURRENT,°C,23.184887695312504
2026-06-07T00:00:00+00:00,22411190-2,RH,CURRENT,%,59.07377737087053
2026-06-07T00:00:00+00:00,22411190-3,Dew Point,CURRENT,°C,14.770183161111845
2026-06-07T00:00:00+00:00,22411191-1,Temperature,CURRENT,°C,23.184887695312504
2026-06-07T00:00:00+00:00,22411191-2,RH,CURRENT,%,59.28435187304494
2026-06-07T00:00:00+00:00,22411191-3,Dew Point,CURRENT,°C,14.82544560256941
2026-06-07T00:00:00+00:00,22411525-1,Temperature,CURRENT,°C,23.120537109375
2026-06-07T00:00:00+00:00,22411525-2,RH,CURRENT,%,58.1353475242237
2026-06-07T00:00:00+00:00,22411525-3,Dew Point,CURRENT,°C,14.461555354839973
2026-06-07T00:00:00+00:00,22411526-1,Temperature,CURRENT,°C,23.099086914062504
2026-06-07T00:00:00+00:00,22411526-2,RH,CURRENT,%,60.016784924086366
2026-06-07T00:00:00+00:00,22411526-3,Dew Point,CURRENT,°C,14.935710451155886
2026-06-07T00:00:00+00:00,22411527-1,Temperature,CURRENT,°C,23.184887695312504
2026-06-07T00:00:00+00:00,22411527-2,RH,CURRENT,%,58.32761120012207
2026-06-07T00:00:00+00:00,22411527-3,Dew Point,CURRENT,°C,14.572961030002782
2026-06-07T00:00:00+00:00,22411528-1,Temperature,CURRENT,°C,22.82023437499999
2026-06-07T00:00:00+00:00,22411528-2,RH,CURRENT,%,61.04676890211338
2026-06-07T00:00:00+00:00,22411528-3,Dew Point,CURRENT,°C,14.937968012889565
2026-06-07T00:00:00+00:00,22411529-1,Temperature,CURRENT,°C,22.82023437499999
2026-06-07T00:00:00+00:00,22411529-2,RH,CURRENT,%,62.529945830472265
2026-06-07T00:00:00+00:00,22411529-3,Dew Point,CURRENT,°C,15.3117541286281
2026-06-07T00:00:00+00:00,22411530-1,Temperature,CURRENT,°C,23.141987304687497
2026-06-07T00:00:00+00:00,22411530-2,RH,CURRENT,%,58.432898451209276
2026-06-07T00:00:00+00:00,22411530-3,Dew Point,CURRENT,°C,14.560745605511968
2026-06-07T00:01:00+00:00,22411541-S,Battery,CURRENT,V,8.4644677734375
2026-06-07T00:05:00+00:00,22411189-1,Temperature,CURRENT,°C,23.077636718749993
2026-06-07T00:05:00+00:00,22411189-2,RH,CURRENT,%,59.847409781033036
2026-06-07T00:05:00+00:00,22411189-3,Dew Point,CURRENT,°C,14.871629911328348
2026-06-07T00:05:00+00:00,22411190-1,Temperature,CURRENT,°C,23.163437499999993
2026-06-07T00:05:00+00:00,22411190-2,RH,CURRENT,%,58.84794384679942
2026-06-07T00:05:00+00:00,22411190-3,Dew Point,CURRENT,°C,14.690617471964769
2026-06-07T00:05:00+00:00,22411191-1,Temperature,CURRENT,°C,23.184887695312504
2026-06-07T00:05:00+00:00,22411191-2,RH,CURRENT,%,58.820477607385364
2026-06-07T00:05:00+00:00,22411191-3,Dew Point,CURRENT,°C,14.703478693945128
